,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
860,4,24.0,4,1,5804.0,4,3,4.0,3,1,2.0,1,27.0,3,2,2.0,3,1.0,1,1,1.0
863,4,27.0,4,2,4526.0,4,2,4.0,3,1,2.0,1,32.0,2,2,2.0,2,2.0,2,1,1.0
865,4,15.0,2,2,2221.0,3,3,2.0,2,1,4.0,3,20.0,3,1,1.0,3,1.0,1,1,1.0
866,1,18.0,2,3,2389.0,1,2,4.0,2,1,1.0,3,27.0,2,2,1.0,3,1.0,1,1,1.0
867,4,12.0,4,2,3331.0,1,5,2.0,3,1,4.0,2,42.0,2,2,1.0,3,1.0,1,1,1.0
868,4,36.0,2,9,7409.0,5,5,3.0,3,1,2.0,2,37.0,3,2,2.0,3,1.0,1,1,1.0
869,1,12.0,2,2,652.0,1,5,4.0,2,1,4.0,2,24.0,3,1,1.0,3,1.0,1,1,1.0
870,4,36.0,3,2,7678.0,3,4,2.0,2,1,4.0,3,40.0,3,2,2.0,3,1.0,2,1,1.0
871,3,6.0,4,0,1343.0,1,5,1.0,3,1,4.0,1,46.0,3,2,2.0,3,2.0,1,2,1.0
872,1,24.0,4,9,1382.0,2,4,4.0,3,1,1.0,1,26.0,3,2,2.0,3,1.0,2,1,1.0
873,4,15.0,2,4,874.0,5,2,4.0,2,1,1.0,1,24.0,3,2,1.0,3,1.0,1,1,1.0
874,1,12.0,2,2,3590.0,1,3,2.0,3,2,2.0,2,29.0,3,2,1.0,2,2.0,1,1,1.0
875,2,11.0,4,0,1322.0,4,3,4.0,2,1,4.0,3,40.0,3,2,2.0,3,1.0,1,1,1.0
876,1,18.0,1,3,1940.0,1,2,3.0,3,2,4.0,4,36.0,1,3,1.0,4,1.0,2,1,1.0
877,4,36.0,2,3,3595.0,1,5,4.0,3,1,2.0,3,28.0,3,2,1.0,3,1.0,1,1,1.0
879,4,30.0,4,3,6742.0,5,4,2.0,3,1,3.0,2,36.0,3,2,2.0,3,1.0,1,1,1.0
880,4,24.0,2,1,7814.0,1,4,3.0,3,1,3.0,3,38.0,3,2,1.0,4,1.0,2,1,1.0
881,4,24.0,2,1,9277.0,5,3,2.0,1,1,4.0,4,48.0,3,3,1.0,3,1.0,2,1,1.0
882,2,30.0,4,0,2181.0,5,5,4.0,3,1,4.0,1,36.0,3,2,2.0,3,1.0,1,1,1.0
883,4,18.0,4,3,1098.0,1,1,4.0,2,1,4.0,3,65.0,3,2,2.0,1,1.0,1,1,1.0
886,2,24.0,4,9,2825.0,5,4,4.0,3,1,3.0,4,34.0,3,2,2.0,3,2.0,2,1,1.0
888,4,36.0,4,0,6614.0,1,5,4.0,3,1,4.0,3,34.0,3,2,2.0,4,1.0,2,1,1.0
889,4,28.0,1,1,7824.0,5,2,3.0,3,3,4.0,1,40.0,1,1,2.0,3,2.0,2,1,1.0
890,1,27.0,4,9,2442.0,1,5,4.0,3,1,4.0,3,43.0,2,2,4.0,4,2.0,2,1,1.0
891,4,15.0,4,3,1829.0,1,5,4.0,3,1,4.0,3,46.0,3,2,2.0,3,1.0,2,1,1.0
892,1,12.0,4,0,2171.0,1,3,4.0,3,1,4.0,2,38.0,1,2,2.0,2,1.0,1,2,1.0
893,2,36.0,4,1,5800.0,1,3,3.0,3,1,4.0,3,34.0,3,2,2.0,3,1.0,2,1,1.0
894,4,18.0,4,3,1169.0,5,3,4.0,3,1,3.0,2,29.0,3,2,2.0,3,1.0,2,1,1.0
895,4,36.0,3,1,8947.0,5,4,3.0,3,1,2.0,3,31.0,2,2,1.0,4,2.0,2,1,1.0
896,1,21.0,2,3,2606.0,1,2,4.0,2,1,4.0,2,28.0,3,1,1.0,4,1.0,2,1,1.0
897,4,12.0,4,2,1592.0,4,4,3.0,2,1,2.0,2,35.0,3,2,1.0,3,1.0,1,2,1.0
898,4,15.0,2,2,2186.0,5,4,1.0,2,1,4.0,1,33.0,1,1,1.0,2,1.0,1,1,1.0
901,4,20.0,4,0,3485.0,5,2,2.0,1,1,4.0,1,44.0,3,2,2.0,3,1.0,2,1,1.0
902,4,36.0,4,1,10477.0,5,5,2.0,3,1,4.0,4,42.0,3,3,2.0,3,1.0,1,1,1.0
903,4,15.0,2,3,1386.0,5,3,4.0,4,1,2.0,1,40.0,3,1,1.0,3,1.0,2,1,1.0
904,4,24.0,2,3,1278.0,1,5,4.0,3,1,1.0,1,36.0,3,2,1.0,4,1.0,2,1,1.0
905,1,12.0,2,3,1107.0,1,3,2.0,3,1,2.0,1,20.0,3,1,1.0,4,2.0,2,1,1.0
906,1,21.0,2,0,3763.0,5,4,2.0,3,2,2.0,1,24.0,3,2,1.0,2,1.0,1,2,1.0
907,2,36.0,2,6,3711.0,5,3,2.0,4,1,2.0,3,27.0,3,2,1.0,3,1.0,1,1,1.0
908,4,15.0,3,1,3594.0,1,2,1.0,2,1,2.0,2,46.0,3,2,2.0,2,1.0,1,1,1.0
909,2,9.0,2,0,3195.0,5,3,1.0,2,1,2.0,1,33.0,3,2,1.0,2,1.0,1,1,1.0
910,4,36.0,3,3,4454.0,1,3,4.0,2,1,4.0,1,34.0,3,2,2.0,3,1.0,1,1,1.0
912,2,30.0,2,3,2991.0,5,5,2.0,2,1,4.0,3,25.0,3,2,1.0,3,1.0,1,1,1.0
913,4,11.0,2,9,2142.0,4,5,1.0,1,1,2.0,1,28.0,3,2,1.0,3,1.0,2,1,1.0
916,4,10.0,2,1,2848.0,2,3,1.0,3,2,2.0,1,32.0,3,2,1.0,3,2.0,1,1,1.0
920,4,18.0,4,2,1817.0,1,3,4.0,2,1,2.0,4,28.0,3,2,2.0,3,1.0,1,1,1.0
921,4,48.0,3,3,12749.0,3,4,4.0,3,1,1.0,3,37.0,3,2,1.0,4,1.0,2,1,1.0
923,2,12.0,2,0,2002.0,1,4,3.0,3,1,4.0,2,30.0,3,1,1.0,3,2.0,2,1,1.0
926,1,18.0,4,2,1049.0,1,2,4.0,2,1,4.0,2,21.0,3,1,1.0,3,1.0,1,1,1.0
928,4,30.0,2,3,1867.0,5,5,4.0,3,1,4.0,3,58.0,3,2,1.0,3,1.0,2,1,1.0
929,1,12.0,3,0,1344.0,1,3,4.0,3,1,2.0,1,43.0,3,2,2.0,2,2.0,1,1,1.0
930,1,24.0,2,2,1747.0,1,2,4.0,3,2,1.0,2,24.0,3,2,1.0,2,1.0,1,2,1.0
932,4,9.0,4,0,1224.0,1,3,3.0,3,1,1.0,1,30.0,3,2,2.0,3,1.0,1,1,1.0
933,4,12.0,4,3,522.0,3,5,4.0,3,1,4.0,2,42.0,3,2,2.0,3,2.0,2,1,1.0
934,1,12.0,2,3,1498.0,1,3,4.0,2,1,1.0,3,23.0,1,2,1.0,3,1.0,1,1,1.0
937,2,6.0,2,3,2063.0,1,2,4.0,4,1,3.0,3,30.0,3,1,1.0,4,1.0,2,1,1.0
939,4,24.0,4,1,6842.0,5,3,2.0,3,1,4.0,2,46.0,3,2,2.0,4,2.0,2,1,1.0
940,4,12.0,2,0,3527.0,5,2,2.0,3,1,3.0,2,45.0,3,2,1.0,4,2.0,2,1,1.0
941,4,10.0,2,0,1546.0,1,3,3.0,3,1,2.0,1,31.0,3,2,1.0,2,2.0,1,2,1.0
942,4,24.0,2,2,929.0,5,4,4.0,3,1,2.0,3,31.0,2,2,1.0,3,1.0,2,1,1.0
943,4,4.0,4,0,1455.0,1,4,2.0,3,1,1.0,1,42.0,3,2,3.0,2,2.0,1,1,1.0
944,1,15.0,2,2,1845.0,1,2,4.0,2,3,1.0,2,46.0,3,1,1.0,3,1.0,1,1,1.0
945,2,48.0,0,0,8358.0,3,2,1.0,2,1,1.0,3,30.0,3,2,2.0,3,1.0,1,1,1.0
947,4,12.0,2,0,2859.0,5,1,4.0,3,1,4.0,4,38.0,3,2,1.0,4,1.0,2,1,1.0
950,2,18.0,4,9,3590.0,1,1,3.0,4,1,3.0,3,40.0,3,2,3.0,1,2.0,2,1,1.0
954,1,12.0,2,0,1893.0,1,3,4.0,2,3,4.0,2,29.0,3,2,1.0,3,1.0,2,1,1.0
955,1,24.0,4,3,1231.0,4,5,4.0,2,1,4.0,2,57.0,3,1,2.0,4,1.0,2,1,1.0
956,3,30.0,4,3,3656.0,5,5,4.0,3,1,4.0,2,49.0,2,2,2.0,2,1.0,1,1,1.0
957,2,9.0,4,3,1154.0,1,5,2.0,3,1,4.0,1,37.0,3,2,3.0,2,1.0,1,1,1.0
959,2,24.0,2,2,3069.0,2,5,4.0,3,1,4.0,4,30.0,3,3,1.0,3,1.0,1,1,1.0
960,4,6.0,4,3,1740.0,1,5,2.0,4,1,2.0,1,30.0,3,1,2.0,3,1.0,1,1,1.0
961,2,21.0,3,0,2353.0,1,3,1.0,1,1,4.0,2,47.0,3,2,2.0,3,1.0,1,1,1.0
962,4,15.0,2,0,3556.0,5,3,3.0,3,1,2.0,4,29.0,3,2,1.0,3,1.0,1,1,1.0
964,2,6.0,2,5,454.0,1,2,3.0,4,1,1.0,2,22.0,3,2,1.0,2,1.0,1,1,1.0
965,2,30.0,2,3,1715.0,5,3,4.0,2,1,1.0,3,26.0,3,2,1.0,3,1.0,1,1,1.0
967,4,15.0,2,3,3568.0,1,5,4.0,2,1,2.0,3,54.0,1,1,1.0,4,1.0,2,1,1.0
968,4,42.0,2,3,7166.0,5,4,2.0,4,1,4.0,2,29.0,3,1,1.0,3,1.0,2,1,1.0
969,1,11.0,4,0,3939.0,1,3,1.0,3,1,2.0,1,40.0,3,2,2.0,2,2.0,1,1,1.0
970,2,15.0,2,5,1514.0,2,3,4.0,3,3,2.0,1,22.0,3,2,1.0,3,1.0,1,1,1.0
971,4,24.0,2,0,7393.0,1,3,1.0,3,1,4.0,2,43.0,3,2,1.0,2,2.0,1,1,1.0
974,4,30.0,4,3,2831.0,1,3,4.0,2,1,2.0,3,33.0,3,2,1.0,3,1.0,2,1,1.0
975,3,24.0,2,3,1258.0,3,3,3.0,2,1,3.0,3,57.0,3,2,1.0,2,1.0,1,1,1.0
976,2,6.0,2,3,753.0,1,3,2.0,2,3,3.0,1,64.0,3,2,1.0,3,1.0,1,1,1.0
977,2,18.0,3,9,2427.0,5,5,4.0,3,1,2.0,2,42.0,3,2,2.0,3,1.0,1,1,1.0
982,3,21.0,2,0,2923.0,2,3,1.0,2,1,1.0,3,28.0,1,2,1.0,4,1.0,2,1,1.0
984,4,24.0,4,2,2028.0,1,4,2.0,3,1,2.0,2,30.0,3,2,2.0,2,1.0,1,1,1.0
985,1,15.0,4,2,1433.0,1,3,4.0,2,1,3.0,2,25.0,3,1,2.0,3,1.0,1,1,1.0
986,3,42.0,0,9,6289.0,1,2,2.0,1,1,1.0,2,33.0,3,2,2.0,3,1.0,1,1,1.0
987,4,13.0,2,3,1409.0,2,1,2.0,2,1,4.0,1,64.0,3,2,1.0,3,1.0,1,1,1.0
988,1,24.0,2,1,6579.0,1,1,4.0,3,1,2.0,4,29.0,3,3,1.0,4,1.0,2,1,1.0
989,2,24.0,4,3,1743.0,1,5,4.0,3,1,2.0,2,48.0,3,2,2.0,2,1.0,1,1,1.0
990,4,12.0,4,6,3565.0,5,2,2.0,3,1,1.0,2,37.0,3,2,2.0,2,2.0,1,1,1.0
991,4,15.0,1,3,1569.0,2,5,4.0,3,1,4.0,3,34.0,1,2,1.0,2,2.0,1,1,1.0
992,1,18.0,2,3,1936.0,5,4,2.0,4,1,4.0,3,23.0,3,1,2.0,2,1.0,1,1,1.0
993,1,36.0,2,2,3959.0,1,1,4.0,3,1,3.0,2,30.0,3,2,1.0,4,1.0,2,1,1.0
994,4,12.0,2,0,2390.0,5,5,4.0,3,1,3.0,3,50.0,3,2,1.0,3,1.0,2,1,1.0
995,4,12.0,2,2,1736.0,1,4,3.0,2,1,4.0,1,31.0,3,2,1.0,2,1.0,1,1,1.0
996,1,30.0,2,1,3857.0,1,3,4.0,1,1,4.0,2,40.0,3,2,1.0,4,1.0,2,1,1.0
997,4,12.0,2,3,804.0,1,5,4.0,3,1,4.0,3,38.0,3,2,1.0,3,1.0,1,1,1.0
999,2,45.0,4,1,4576.0,2,1,3.0,3,1,4.0,3,27.0,3,2,1.0,3,1.0,1,1,1.0
809,2,15.0,0,0,1778.0,1,2,2.0,2,1,1.0,1,26.0,3,1,2.0,1,1.0,1,1,2.0
812,1,36.0,4,1,9629.0,1,4,4.0,3,1,4.0,3,24.0,3,2,2.0,3,1.0,2,1,2.0
813,1,48.0,2,4,3051.0,1,3,3.0,3,1,4.0,3,54.0,3,2,1.0,3,1.0,1,1,2.0
814,1,48.0,2,0,3931.0,1,4,4.0,3,1,4.0,4,46.0,3,3,1.0,3,2.0,1,1,2.0
819,1,18.0,2,3,1345.0,1,3,4.0,4,1,3.0,1,26.0,1,2,1.0,3,1.0,1,1,2.0
822,1,36.0,2,2,2712.0,1,5,2.0,3,1,2.0,2,41.0,1,2,1.0,3,2.0,1,1,2.0
826,1,18.0,4,0,3966.0,1,5,1.0,2,1,4.0,1,33.0,1,1,3.0,3,1.0,2,1,2.0
827,4,18.0,0,9,4165.0,1,3,2.0,3,1,2.0,3,36.0,2,2,2.0,3,2.0,1,1,2.0
828,1,36.0,2,1,8335.0,5,5,3.0,3,1,4.0,4,47.0,3,3,1.0,3,1.0,1,1,2.0
831,1,18.0,2,0,1216.0,1,2,4.0,2,1,3.0,3,23.0,3,1,1.0,3,1.0,2,1,2.0
832,1,45.0,0,9,11816.0,1,5,2.0,3,1,4.0,3,29.0,3,1,2.0,3,1.0,1,1,2.0
834,3,15.0,2,3,2327.0,1,2,2.0,2,1,3.0,1,25.0,3,2,1.0,2,1.0,1,1,2.0
835,1,12.0,0,0,1082.0,1,3,4.0,3,1,4.0,3,48.0,1,2,2.0,3,1.0,1,1,2.0
840,1,36.0,2,2,5179.0,1,4,4.0,3,1,2.0,2,29.0,3,2,1.0,3,1.0,1,1,2.0
842,4,18.0,2,5,1943.0,1,2,4.0,2,1,4.0,1,23.0,3,2,1.0,3,1.0,1,1,2.0
846,4,18.0,2,0,6761.0,5,3,2.0,3,1,4.0,3,68.0,3,1,2.0,3,1.0,1,1,2.0
849,1,12.0,2,3,709.0,1,5,4.0,3,1,4.0,1,57.0,2,2,1.0,2,1.0,1,1,2.0
850,1,20.0,4,0,2235.0,1,3,4.0,4,3,2.0,2,33.0,1,1,2.0,3,1.0,1,2,2.0
853,1,18.0,1,0,1442.0,1,4,4.0,3,1,4.0,4,32.0,3,3,2.0,2,2.0,1,1,2.0
858,1,15.0,2,0,3959.0,1,3,3.0,2,1,2.0,2,29.0,3,2,1.0,3,1.0,2,1,2.0
861,4,18.0,3,9,2169.0,1,3,4.0,4,1,2.0,3,28.0,3,2,1.0,3,1.0,2,1,2.0
862,1,24.0,2,3,2439.0,1,2,4.0,2,1,4.0,1,35.0,3,2,1.0,3,1.0,2,1,2.0
864,4,10.0,2,2,2210.0,1,3,2.0,3,1,2.0,1,25.0,1,1,1.0,2,1.0,1,1,2.0
878,1,9.0,2,0,1422.0,1,2,3.0,3,1,2.0,4,27.0,3,3,1.0,4,1.0,2,1,2.0
884,2,24.0,2,2,4057.0,1,4,3.0,1,1,3.0,3,43.0,3,2,1.0,3,1.0,2,1,2.0
885,1,12.0,2,6,795.0,1,2,4.0,2,1,4.0,2,53.0,3,2,1.0,3,1.0,1,1,2.0
887,2,48.0,2,9,15672.0,1,3,2.0,3,1,2.0,3,23.0,3,2,1.0,3,1.0,2,1,2.0
899,1,18.0,2,2,4153.0,1,3,2.0,3,2,3.0,3,42.0,3,2,1.0,3,1.0,1,1,2.0
900,1,16.0,4,0,2625.0,1,5,2.0,3,3,4.0,2,43.0,1,1,1.0,3,1.0,2,1,2.0
911,2,24.0,4,2,4736.0,1,2,2.0,2,1,4.0,3,25.0,1,2,1.0,2,1.0,1,1,2.0
914,1,24.0,1,9,3161.0,1,3,4.0,3,1,2.0,2,31.0,3,1,1.0,3,1.0,2,1,2.0
915,2,48.0,0,1,18424.0,1,3,1.0,2,1,2.0,2,32.0,1,2,1.0,4,1.0,2,2,2.0
917,1,6.0,2,0,14896.0,1,5,1.0,3,1,4.0,4,68.0,1,2,1.0,4,1.0,2,1,2.0
918,1,24.0,2,2,2359.0,2,1,1.0,1,1,1.0,2,33.0,3,2,1.0,3,1.0,1,1,2.0
919,1,24.0,2,2,3345.0,1,5,4.0,3,1,2.0,2,39.0,3,1,1.0,4,1.0,2,1,2.0
922,1,9.0,2,3,1366.0,1,2,3.0,2,1,4.0,2,22.0,3,1,1.0,3,1.0,1,1,2.0
924,1,24.0,1,2,6872.0,1,2,2.0,1,1,1.0,2,55.0,1,2,1.0,3,1.0,2,1,2.0
925,1,12.0,1,0,697.0,1,2,4.0,3,1,2.0,3,46.0,1,2,2.0,3,1.0,2,1,2.0
927,1,48.0,2,1,10297.0,1,4,4.0,3,1,4.0,4,39.0,2,3,3.0,3,2.0,2,1,2.0
931,2,9.0,2,3,1670.0,1,2,4.0,2,1,2.0,3,22.0,3,2,1.0,3,1.0,2,1,2.0
935,2,30.0,3,3,1919.0,2,2,4.0,3,1,3.0,4,30.0,2,2,2.0,4,1.0,1,1,2.0
936,3,9.0,2,3,745.0,1,3,3.0,2,1,2.0,1,28.0,3,2,1.0,2,1.0,1,1,2.0
938,2,60.0,2,6,6288.0,1,3,4.0,3,1,4.0,4,42.0,3,3,1.0,3,1.0,1,1,2.0
946,1,24.0,1,2,3349.0,3,2,4.0,3,1,4.0,4,30.0,3,3,1.0,3,2.0,2,1,2.0
948,4,18.0,2,2,1533.0,1,2,4.0,4,2,1.0,2,43.0,3,2,1.0,2,2.0,1,1,2.0
949,4,24.0,2,3,3621.0,2,5,2.0,3,1,4.0,3,31.0,3,2,2.0,3,1.0,1,1,2.0
951,1,36.0,3,9,2145.0,1,4,2.0,3,1,1.0,3,24.0,3,2,2.0,3,1.0,2,1,2.0
952,2,24.0,2,1,4113.0,3,2,3.0,2,1,4.0,3,28.0,3,1,1.0,3,1.0,1,1,2.0
953,4,36.0,2,2,10974.0,1,1,4.0,2,1,2.0,3,26.0,3,2,2.0,4,1.0,2,1,2.0
958,1,28.0,2,0,4006.0,1,3,3.0,3,1,2.0,3,45.0,3,2,1.0,2,1.0,1,1,2.0
963,4,24.0,2,3,2397.0,3,5,3.0,3,1,2.0,3,35.0,1,2,2.0,3,1.0,2,1,2.0
966,2,27.0,4,3,2520.0,3,3,4.0,3,1,2.0,2,23.0,3,2,2.0,2,1.0,1,1,2.0
972,1,24.0,1,0,1193.0,1,1,1.0,2,2,4.0,4,29.0,3,1,2.0,1,1.0,1,1,2.0
973,1,60.0,2,9,7297.0,1,5,4.0,3,2,4.0,4,36.0,3,1,1.0,3,1.0,1,1,2.0
978,4,24.0,3,0,2538.0,1,5,4.0,3,1,4.0,3,47.0,3,2,2.0,2,2.0,1,1,2.0
979,2,15.0,1,0,1264.0,2,3,2.0,4,1,2.0,2,25.0,3,1,1.0,3,1.0,1,1,2.0
980,2,30.0,4,2,8386.0,1,4,2.0,3,1,2.0,2,49.0,3,2,1.0,3,1.0,1,1,2.0
981,4,48.0,2,9,4844.0,1,1,3.0,3,1,2.0,3,33.0,1,1,1.0,4,1.0,2,1,2.0
983,1,36.0,2,1,8229.0,1,3,2.0,3,1,2.0,2,26.0,3,2,1.0,3,2.0,1,1,2.0
998,1,45.0,2,3,1845.0,1,3,4.0,3,1,4.0,4,23.0,3,3,1.0,3,1.0,2,1,2.0
