,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,Class
116,1,42.0,2,3,7174.0,5,4,4.0,2,1,3.0,3,30.0,3,2,1.0,4,1.0,2,1,2.0
118,1,33.0,4,2,4281.0,3,3,1.0,2,1,4.0,3,23.0,3,2,2.0,3,1.0,1,1,2.0
120,1,21.0,2,3,1835.0,1,3,3.0,2,1,2.0,1,25.0,3,2,2.0,3,1.0,2,1,2.0
124,2,18.0,2,2,1924.0,5,2,4.0,2,1,3.0,1,27.0,3,1,1.0,3,1.0,1,1,2.0
127,2,12.0,2,5,639.0,1,3,4.0,3,1,2.0,3,30.0,3,2,1.0,3,1.0,1,1,2.0
129,1,12.0,4,0,3499.0,1,3,3.0,2,2,2.0,1,29.0,3,2,2.0,3,1.0,1,1,2.0
131,1,36.0,3,6,6887.0,1,3,4.0,3,1,3.0,2,29.0,2,2,1.0,3,1.0,2,1,2.0
137,2,12.0,2,3,766.0,3,3,4.0,3,1,3.0,1,66.0,3,2,1.0,2,1.0,1,1,2.0
143,1,18.0,2,2,2462.0,1,3,2.0,3,1,2.0,3,22.0,3,2,1.0,3,1.0,1,1,2.0
155,1,12.0,2,2,1282.0,1,3,2.0,2,1,4.0,3,20.0,3,1,1.0,3,1.0,1,1,2.0
166,1,18.0,2,2,1131.0,1,1,4.0,2,1,2.0,3,33.0,3,2,1.0,3,1.0,1,1,2.0
169,2,24.0,4,9,1935.0,1,5,4.0,1,1,4.0,1,31.0,3,2,2.0,3,1.0,2,1,2.0
170,1,15.0,0,0,950.0,1,5,4.0,3,1,3.0,3,33.0,3,1,2.0,3,2.0,1,1,2.0
172,2,24.0,3,2,2064.0,1,1,3.0,2,1,2.0,2,34.0,3,2,1.0,4,1.0,2,1,2.0
174,1,21.0,3,6,3414.0,1,2,2.0,3,1,1.0,2,26.0,3,2,2.0,3,1.0,1,1,2.0
175,4,30.0,1,1,7485.0,5,1,4.0,2,1,1.0,1,53.0,1,2,1.0,4,1.0,2,1,2.0
180,4,36.0,3,9,9572.0,1,2,1.0,1,1,1.0,3,28.0,3,2,2.0,3,1.0,1,1,2.0
181,2,36.0,3,9,4455.0,1,3,2.0,1,1,2.0,1,30.0,2,2,2.0,4,1.0,2,1,2.0
182,1,21.0,1,0,1647.0,5,3,4.0,3,1,2.0,2,40.0,3,2,2.0,2,2.0,1,1,2.0
184,2,18.0,4,0,884.0,1,5,4.0,3,1,4.0,3,36.0,1,2,1.0,3,2.0,2,1,2.0
186,2,9.0,1,1,5129.0,1,5,2.0,2,1,4.0,4,74.0,1,3,1.0,4,2.0,2,1,2.0
188,1,12.0,2,3,674.0,2,4,4.0,4,1,1.0,2,20.0,3,2,1.0,3,1.0,1,1,2.0
190,4,24.0,2,9,4591.0,4,3,2.0,3,1,3.0,2,54.0,3,2,3.0,4,1.0,2,1,2.0
191,2,48.0,0,9,3844.0,2,4,4.0,3,1,4.0,4,34.0,3,3,1.0,2,2.0,1,1,2.0
192,2,27.0,2,9,3915.0,1,3,4.0,3,1,2.0,3,36.0,3,2,1.0,3,2.0,2,1,2.0
194,2,45.0,2,3,3031.0,2,3,4.0,3,3,4.0,2,21.0,3,1,1.0,3,1.0,1,1,2.0
195,2,9.0,4,6,1501.0,1,5,2.0,2,1,3.0,3,34.0,3,2,2.0,4,1.0,2,1,2.0
197,2,12.0,2,2,951.0,2,2,4.0,2,1,4.0,3,27.0,1,1,4.0,3,1.0,1,1,2.0
199,2,18.0,3,2,4297.0,1,5,4.0,1,1,3.0,4,40.0,3,2,1.0,4,1.0,2,1,2.0
203,1,12.0,2,8,902.0,1,4,4.0,4,1,4.0,2,21.0,3,1,1.0,3,1.0,1,1,2.0
212,1,27.0,0,9,5293.0,1,1,2.0,3,1,4.0,2,50.0,2,2,2.0,3,1.0,2,1,2.0
213,3,30.0,3,9,1908.0,1,5,4.0,3,1,4.0,1,66.0,3,2,1.0,4,1.0,2,1,2.0
226,2,48.0,2,3,10961.0,4,4,1.0,3,2,2.0,4,27.0,1,2,2.0,3,1.0,2,1,2.0
227,1,12.0,2,2,7865.0,1,5,4.0,3,1,4.0,4,53.0,3,3,1.0,4,1.0,2,1,2.0
228,4,9.0,2,3,1478.0,1,4,4.0,3,1,2.0,3,22.0,3,2,1.0,3,1.0,1,1,2.0
230,3,36.0,2,3,4210.0,1,3,4.0,3,1,2.0,3,26.0,3,2,1.0,3,1.0,1,1,2.0
235,1,24.0,2,3,1823.0,1,1,4.0,3,1,2.0,3,30.0,2,2,1.0,4,2.0,1,1,2.0
236,2,6.0,2,0,14555.0,5,1,1.0,3,1,2.0,2,23.0,3,2,1.0,1,1.0,2,1,2.0
237,2,21.0,2,9,2767.0,2,5,4.0,1,1,2.0,3,61.0,1,1,2.0,2,1.0,1,1,2.0
240,1,24.0,2,0,915.0,5,5,4.0,2,1,2.0,3,29.0,1,2,1.0,3,1.0,1,1,2.0
242,1,48.0,0,1,4605.0,1,5,3.0,3,1,4.0,4,24.0,3,3,2.0,3,2.0,1,1,2.0
249,4,18.0,2,3,433.0,1,1,3.0,2,2,4.0,1,22.0,3,1,1.0,3,1.0,1,1,2.0
252,2,30.0,2,0,2150.0,1,3,4.0,2,3,2.0,4,24.0,1,2,1.0,3,1.0,1,1,2.0
257,1,12.0,1,3,2149.0,1,3,4.0,1,1,1.0,4,29.0,3,3,1.0,3,1.0,1,1,2.0
265,2,15.0,2,3,802.0,1,5,4.0,3,1,3.0,3,37.0,3,2,1.0,3,2.0,1,1,2.0
268,1,14.0,2,0,8978.0,1,5,1.0,1,1,4.0,2,45.0,3,2,1.0,4,1.0,2,2,2.0
273,2,48.0,2,3,3060.0,1,4,4.0,3,1,4.0,1,28.0,3,2,2.0,3,1.0,1,1,2.0
274,1,30.0,2,5,11998.0,1,2,1.0,1,1,1.0,4,34.0,3,2,1.0,2,1.0,2,1,2.0
278,4,6.0,2,2,4611.0,1,2,1.0,2,1,4.0,2,32.0,3,2,1.0,3,1.0,1,1,2.0
289,1,24.0,3,3,1024.0,1,2,4.0,4,1,4.0,1,48.0,2,2,1.0,3,1.0,1,1,2.0
291,2,36.0,2,1,9398.0,1,2,1.0,4,1,4.0,3,28.0,3,1,1.0,4,1.0,2,1,2.0
295,2,48.0,2,2,9960.0,1,2,1.0,2,1,2.0,3,26.0,3,2,1.0,3,1.0,2,1,2.0
301,2,36.0,0,3,3804.0,1,3,4.0,2,1,1.0,3,42.0,3,2,1.0,3,1.0,2,1,2.0
302,3,24.0,4,0,1344.0,5,4,4.0,3,1,2.0,1,37.0,1,2,2.0,2,2.0,1,1,2.0
304,4,48.0,4,0,10127.0,3,3,2.0,3,1,2.0,4,44.0,1,3,1.0,3,1.0,1,1,2.0
307,1,12.0,2,3,727.0,2,2,4.0,4,1,3.0,4,33.0,3,2,1.0,2,1.0,2,1,2.0
308,2,8.0,2,2,1237.0,1,3,3.0,2,1,4.0,1,24.0,3,2,1.0,3,1.0,1,1,2.0
313,2,12.0,2,0,685.0,1,4,2.0,4,1,3.0,3,25.0,1,2,1.0,2,1.0,1,1,2.0
315,1,36.0,1,2,2746.0,1,5,4.0,3,1,4.0,3,31.0,1,2,1.0,3,1.0,1,1,2.0
320,2,30.0,4,0,4249.0,1,1,4.0,4,1,2.0,3,28.0,3,2,2.0,4,1.0,1,1,2.0
321,1,24.0,2,3,1938.0,1,2,4.0,1,1,3.0,2,32.0,3,2,1.0,3,1.0,1,1,2.0
331,4,18.0,4,6,1864.0,2,3,4.0,2,1,2.0,1,30.0,3,2,2.0,3,1.0,1,1,2.0
332,2,60.0,2,0,7408.0,2,2,4.0,2,1,2.0,2,24.0,3,2,1.0,4,1.0,1,1,2.0
333,4,48.0,4,1,11590.0,2,3,2.0,2,1,4.0,3,24.0,1,1,2.0,2,1.0,1,1,2.0
334,1,24.0,0,2,4110.0,1,5,3.0,3,1,4.0,4,23.0,1,1,2.0,3,2.0,1,1,2.0
335,1,6.0,4,2,3384.0,1,3,1.0,1,1,4.0,1,44.0,3,1,1.0,4,1.0,2,1,2.0
337,1,15.0,2,4,1275.0,5,3,4.0,2,1,2.0,3,24.0,3,1,1.0,3,1.0,1,1,2.0
349,2,9.0,4,6,1136.0,4,5,4.0,3,1,3.0,4,32.0,3,3,2.0,3,2.0,1,1,2.0
351,2,9.0,2,2,959.0,1,3,1.0,2,1,2.0,3,29.0,3,2,1.0,3,1.0,1,2,2.0
353,1,12.0,0,3,6199.0,1,3,4.0,3,1,2.0,2,28.0,3,1,2.0,3,1.0,2,1,2.0
355,2,24.0,2,0,1246.0,1,2,4.0,3,1,2.0,1,23.0,2,2,1.0,2,1.0,1,1,2.0
357,4,36.0,3,3,4463.0,1,3,4.0,3,1,2.0,3,26.0,3,2,2.0,4,1.0,2,1,2.0
359,1,30.0,2,2,2406.0,1,4,4.0,2,1,4.0,1,23.0,3,1,1.0,3,1.0,1,1,2.0
364,1,18.0,2,2,2473.0,1,1,4.0,3,1,1.0,3,25.0,3,2,1.0,1,1.0,1,1,2.0
368,1,36.0,2,2,3446.0,1,5,4.0,3,1,2.0,3,42.0,3,2,1.0,3,2.0,1,1,2.0
374,2,60.0,1,1,14782.0,2,5,3.0,2,1,4.0,4,60.0,1,3,2.0,4,1.0,2,1,2.0
375,1,48.0,1,9,7685.0,1,4,2.0,2,3,4.0,3,37.0,3,1,1.0,3,1.0,1,1,2.0
378,2,36.0,2,0,14318.0,1,5,4.0,3,1,2.0,4,57.0,3,3,1.0,4,1.0,2,1,2.0
381,2,18.0,2,1,12976.0,1,1,3.0,2,1,4.0,4,38.0,3,3,1.0,4,1.0,2,1,2.0
398,2,12.0,2,0,1223.0,1,5,1.0,1,1,1.0,1,46.0,3,1,2.0,3,1.0,1,1,2.0
402,4,24.0,3,9,8648.0,1,2,2.0,3,1,2.0,3,27.0,1,2,2.0,3,1.0,2,1,2.0
405,2,24.0,2,3,2039.0,1,2,1.0,4,1,1.0,2,22.0,3,2,1.0,3,1.0,2,1,2.0
409,3,12.0,4,0,939.0,3,4,4.0,4,1,2.0,1,28.0,3,2,3.0,3,1.0,2,1,2.0
412,4,12.0,4,9,2292.0,1,1,4.0,3,1,2.0,3,42.0,2,2,2.0,4,1.0,2,1,2.0
414,1,24.0,2,0,1381.0,5,3,4.0,2,1,2.0,2,35.0,3,2,1.0,3,1.0,1,1,2.0
416,1,12.0,2,0,2579.0,1,2,4.0,3,1,1.0,1,33.0,3,2,1.0,2,2.0,1,1,2.0
419,2,18.0,2,0,1042.0,5,3,4.0,2,1,2.0,2,33.0,3,2,1.0,3,1.0,1,1,2.0
424,2,12.0,2,2,2762.0,5,5,1.0,2,1,2.0,2,25.0,1,2,1.0,3,1.0,2,1,2.0
429,1,18.0,4,5,1190.0,1,1,2.0,2,1,4.0,4,55.0,3,3,3.0,1,2.0,1,1,2.0
431,2,24.0,2,1,11328.0,1,3,2.0,3,2,3.0,3,29.0,1,2,2.0,4,1.0,2,1,2.0
435,2,12.0,2,3,1484.0,5,3,2.0,4,1,1.0,1,25.0,3,2,1.0,3,1.0,2,1,2.0
439,3,12.0,1,9,609.0,1,2,4.0,2,1,1.0,1,26.0,3,2,1.0,1,1.0,1,1,2.0
443,4,12.0,2,6,719.0,1,5,4.0,3,1,4.0,3,41.0,1,2,1.0,2,2.0,1,1,2.0
444,2,48.0,4,2,5096.0,1,3,2.0,2,1,3.0,3,30.0,3,2,1.0,4,1.0,2,1,2.0
446,1,36.0,2,0,1842.0,1,2,4.0,2,1,4.0,3,34.0,3,2,1.0,3,1.0,2,1,2.0
449,2,15.0,3,5,1512.0,4,3,3.0,4,1,3.0,2,61.0,2,2,2.0,3,1.0,1,1,2.0
454,1,24.0,2,0,4817.0,1,4,2.0,3,2,3.0,2,31.0,3,2,1.0,3,1.0,2,1,2.0
457,1,12.0,2,1,3386.0,1,5,3.0,3,1,4.0,4,35.0,3,3,1.0,3,1.0,2,1,2.0
466,1,24.0,3,3,1659.0,1,2,4.0,2,1,2.0,3,29.0,3,1,1.0,2,1.0,2,1,2.0
470,2,24.0,2,3,3092.0,2,2,3.0,4,1,2.0,3,22.0,3,1,1.0,3,1.0,2,1,2.0
471,1,6.0,2,6,448.0,1,2,4.0,2,1,4.0,2,23.0,3,2,1.0,3,1.0,1,1,2.0
472,1,9.0,2,0,654.0,1,3,4.0,3,1,3.0,3,28.0,3,2,1.0,2,1.0,1,1,2.0
474,2,18.0,4,3,1245.0,1,3,4.0,4,1,2.0,3,33.0,3,2,1.0,3,1.0,1,1,2.0
475,1,18.0,0,2,3114.0,1,2,1.0,2,1,4.0,2,26.0,3,1,1.0,3,1.0,1,1,2.0
485,2,6.0,3,0,1209.0,1,1,4.0,3,1,4.0,2,47.0,3,2,1.0,4,1.0,2,1,2.0
491,2,27.0,0,9,8318.0,1,5,2.0,2,1,4.0,4,42.0,3,3,2.0,4,1.0,2,1,2.0
495,1,24.0,2,2,2996.0,5,3,2.0,4,1,4.0,3,20.0,3,2,1.0,3,1.0,1,1,2.0
496,2,36.0,2,2,9034.0,2,2,4.0,3,2,1.0,4,29.0,3,1,1.0,4,1.0,2,1,2.0
500,1,24.0,2,0,3123.0,1,2,4.0,2,1,1.0,2,27.0,3,2,1.0,3,1.0,1,1,2.0
503,2,24.0,4,3,1216.0,2,2,4.0,3,1,4.0,4,38.0,1,2,2.0,3,2.0,1,1,2.0
504,1,24.0,2,0,1207.0,1,2,4.0,2,1,4.0,2,24.0,3,1,1.0,3,1.0,1,1,2.0
505,4,10.0,2,0,1309.0,5,3,4.0,3,3,4.0,2,27.0,3,2,1.0,2,1.0,1,1,2.0
507,2,15.0,1,0,6850.0,2,1,1.0,3,1,2.0,2,34.0,3,2,1.0,4,2.0,2,1,2.0
510,1,12.0,2,0,759.0,1,4,4.0,3,1,2.0,1,26.0,3,2,1.0,3,1.0,1,1,2.0
517,4,36.0,4,2,7127.0,1,2,2.0,2,1,4.0,2,23.0,3,1,2.0,3,1.0,2,1,2.0
521,1,18.0,2,3,3190.0,1,3,2.0,2,1,2.0,1,24.0,3,2,1.0,3,1.0,1,1,2.0
522,1,48.0,0,2,7119.0,1,3,3.0,3,1,4.0,4,53.0,3,3,2.0,3,2.0,1,1,2.0
528,1,36.0,2,3,2302.0,1,3,4.0,1,1,4.0,3,31.0,3,1,1.0,3,1.0,1,1,2.0
531,2,15.0,2,0,2631.0,2,3,2.0,2,1,4.0,3,28.0,3,1,2.0,3,1.0,2,1,2.0
535,3,21.0,4,6,2319.0,1,2,2.0,1,1,1.0,3,33.0,3,1,1.0,3,1.0,1,1,2.0
538,1,48.0,2,0,7763.0,1,5,4.0,3,1,4.0,4,42.0,1,3,1.0,4,1.0,1,1,2.0
540,2,12.0,2,3,1534.0,1,2,1.0,4,1,1.0,1,23.0,3,1,1.0,3,1.0,1,1,2.0
542,1,30.0,2,2,6350.0,5,5,4.0,3,1,4.0,2,31.0,3,2,1.0,3,1.0,1,1,2.0
543,3,18.0,2,2,2864.0,1,3,2.0,3,1,1.0,1,34.0,3,2,1.0,2,2.0,1,1,2.0
545,1,24.0,3,0,1333.0,1,1,4.0,3,1,2.0,1,43.0,3,3,2.0,3,2.0,1,1,2.0
548,1,12.0,1,3,626.0,1,3,4.0,2,1,4.0,1,24.0,1,2,1.0,2,1.0,1,1,2.0
552,1,48.0,2,3,6999.0,1,4,1.0,4,3,1.0,1,34.0,3,2,2.0,3,1.0,2,1,2.0
555,2,12.0,2,3,1331.0,1,2,2.0,3,1,1.0,3,22.0,2,2,1.0,3,1.0,1,1,2.0
556,2,18.0,0,0,2278.0,2,2,3.0,2,1,3.0,3,28.0,3,2,2.0,3,1.0,1,1,2.0
557,4,21.0,0,0,5003.0,5,3,1.0,2,1,4.0,2,29.0,1,2,2.0,3,1.0,2,1,2.0
558,1,24.0,1,2,3552.0,1,4,3.0,3,1,4.0,3,27.0,1,2,1.0,3,1.0,1,1,2.0
559,2,18.0,4,2,1928.0,1,2,2.0,3,1,2.0,1,31.0,3,2,2.0,2,1.0,1,1,2.0
561,1,24.0,1,3,1546.0,1,4,4.0,3,3,4.0,3,24.0,1,1,1.0,2,1.0,1,1,2.0
563,2,36.0,2,0,12389.0,5,3,1.0,3,1,4.0,4,37.0,3,3,1.0,3,1.0,2,1,2.0
566,1,12.0,2,0,1372.0,1,4,2.0,1,1,3.0,3,36.0,3,2,1.0,3,1.0,1,1,2.0
569,1,48.0,2,3,6758.0,1,3,3.0,2,1,2.0,3,31.0,3,2,1.0,3,1.0,2,1,2.0
570,1,24.0,2,2,3234.0,1,2,4.0,2,1,4.0,1,23.0,3,1,1.0,2,1.0,2,1,2.0
578,2,36.0,4,0,2820.0,1,2,4.0,1,1,4.0,3,27.0,3,2,2.0,3,1.0,1,1,2.0
580,2,18.0,4,0,1056.0,1,5,3.0,3,3,3.0,1,30.0,1,2,2.0,3,1.0,1,1,2.0
583,2,36.0,2,5,2384.0,1,2,4.0,3,1,1.0,4,33.0,3,1,1.0,2,1.0,1,1,2.0
585,1,18.0,2,2,2039.0,1,3,1.0,2,1,4.0,1,20.0,1,1,1.0,3,1.0,1,1,2.0
588,1,18.0,2,4,1217.0,1,3,4.0,4,1,3.0,1,47.0,3,2,1.0,2,1.0,2,1,2.0
589,1,12.0,4,2,2246.0,1,5,3.0,3,1,3.0,2,60.0,3,2,2.0,3,1.0,1,1,2.0
593,2,24.0,2,0,2718.0,1,3,3.0,2,1,4.0,2,20.0,3,1,1.0,2,1.0,2,1,2.0
594,1,24.0,1,1,1358.0,5,5,4.0,3,1,3.0,3,40.0,2,2,1.0,4,1.0,2,1,2.0
595,2,6.0,1,0,931.0,2,2,1.0,2,1,1.0,2,32.0,2,2,1.0,2,1.0,1,1,2.0
596,1,24.0,2,0,1442.0,1,4,4.0,2,1,4.0,3,23.0,3,1,2.0,3,1.0,1,1,2.0
597,2,24.0,0,9,4241.0,1,3,1.0,3,1,4.0,1,36.0,3,2,3.0,2,1.0,2,1,2.0
598,4,18.0,4,0,2775.0,1,4,2.0,3,1,2.0,2,31.0,1,2,2.0,3,1.0,1,1,2.0
601,2,9.0,2,2,918.0,1,3,4.0,2,1,1.0,2,30.0,3,2,1.0,3,1.0,1,1,2.0
602,2,24.0,1,6,1837.0,1,4,4.0,2,1,4.0,4,34.0,1,3,1.0,2,1.0,1,1,2.0
603,4,36.0,2,2,3349.0,1,3,4.0,2,1,2.0,3,28.0,3,2,1.0,4,1.0,2,1,2.0
607,2,36.0,2,3,2671.0,2,3,4.0,2,2,4.0,4,50.0,3,3,1.0,3,1.0,1,1,2.0
610,1,12.0,2,4,741.0,2,1,4.0,2,1,3.0,2,22.0,3,2,1.0,3,1.0,1,1,2.0
611,3,10.0,2,0,1240.0,2,5,1.0,2,1,4.0,4,48.0,3,3,1.0,2,2.0,1,1,2.0
614,4,18.0,3,2,1808.0,1,4,4.0,2,1,1.0,1,22.0,3,2,1.0,3,1.0,1,1,2.0
618,2,30.0,2,2,3441.0,2,3,2.0,2,2,4.0,3,21.0,3,1,1.0,3,1.0,1,1,2.0
621,4,18.0,4,0,1530.0,1,3,3.0,3,1,2.0,2,32.0,1,2,2.0,3,1.0,1,1,2.0
622,4,48.0,2,9,3914.0,5,3,4.0,1,1,2.0,1,38.0,1,2,1.0,3,1.0,1,1,2.0
624,1,18.0,2,3,2600.0,1,3,4.0,3,1,4.0,4,65.0,3,3,2.0,3,1.0,1,1,2.0
627,2,9.0,1,0,1437.0,2,4,2.0,3,1,3.0,4,29.0,3,2,1.0,3,1.0,1,1,2.0
631,1,18.0,1,2,1553.0,1,3,4.0,3,1,3.0,3,44.0,1,2,1.0,3,1.0,1,1,2.0
633,4,9.0,2,2,1980.0,1,2,2.0,2,2,2.0,3,19.0,3,1,2.0,3,1.0,1,1,2.0
634,2,24.0,2,0,1355.0,1,2,3.0,2,1,4.0,3,25.0,3,2,1.0,2,1.0,2,1,2.0
639,1,42.0,3,3,4370.0,1,4,3.0,3,1,2.0,2,26.0,1,2,2.0,3,2.0,2,1,2.0
640,1,18.0,2,6,750.0,1,1,4.0,2,1,1.0,1,27.0,3,2,1.0,1,1.0,1,1,2.0
642,4,15.0,2,6,4623.0,2,3,3.0,3,1,2.0,2,40.0,3,2,1.0,4,1.0,2,1,2.0
645,4,36.0,3,9,7980.0,5,2,4.0,3,1,4.0,3,27.0,3,1,2.0,3,1.0,2,1,2.0
647,4,12.0,2,0,1386.0,3,3,2.0,2,1,2.0,2,26.0,3,2,1.0,3,1.0,1,1,2.0
648,3,24.0,2,0,947.0,1,4,4.0,3,1,3.0,4,38.0,1,3,1.0,3,2.0,1,1,2.0
649,1,12.0,2,6,684.0,1,3,4.0,3,1,4.0,3,40.0,3,1,1.0,2,2.0,1,1,2.0
651,2,12.0,2,2,1922.0,1,3,4.0,3,1,2.0,2,37.0,3,2,1.0,2,1.0,1,1,2.0
652,1,24.0,2,0,2303.0,1,5,4.0,3,2,1.0,1,45.0,3,2,1.0,3,1.0,1,1,2.0
653,2,36.0,3,0,8086.0,2,5,2.0,3,1,4.0,3,42.0,3,2,4.0,4,1.0,2,1,2.0
656,2,12.0,2,0,888.0,1,5,4.0,3,1,4.0,3,41.0,1,2,1.0,2,2.0,1,1,2.0
661,1,12.0,2,0,900.0,5,3,4.0,4,1,2.0,3,23.0,3,2,1.0,3,1.0,1,1,2.0
668,1,12.0,4,0,4843.0,1,5,3.0,3,2,4.0,2,43.0,3,1,2.0,3,1.0,2,1,2.0
674,4,21.0,3,9,2580.0,3,2,4.0,3,1,2.0,1,41.0,1,2,1.0,2,2.0,1,1,2.0
677,2,72.0,2,3,5595.0,2,3,2.0,4,1,2.0,3,24.0,3,2,1.0,3,1.0,1,1,2.0
700,4,12.0,2,2,1123.0,3,3,4.0,2,1,4.0,3,29.0,3,1,1.0,2,1.0,1,1,2.0
701,1,48.0,4,1,6331.0,1,5,4.0,3,1,4.0,4,46.0,3,3,2.0,3,1.0,2,1,2.0
706,2,48.0,2,0,6560.0,2,4,3.0,3,1,2.0,2,24.0,3,2,1.0,3,1.0,1,1,2.0
707,2,12.0,0,2,2969.0,1,2,4.0,2,1,3.0,2,25.0,3,1,2.0,3,1.0,1,1,2.0
711,1,6.0,1,6,1198.0,1,5,4.0,2,1,4.0,4,35.0,3,3,1.0,3,1.0,1,1,2.0
714,2,60.0,2,0,14027.0,1,4,4.0,3,1,2.0,4,27.0,3,2,1.0,4,1.0,2,1,2.0
720,3,9.0,0,3,1337.0,1,2,4.0,3,1,2.0,3,34.0,3,2,2.0,4,1.0,2,1,2.0
721,2,6.0,1,6,433.0,4,2,4.0,2,1,2.0,2,24.0,1,1,1.0,3,2.0,1,1,2.0
722,1,12.0,2,0,1228.0,1,3,4.0,2,1,2.0,1,24.0,3,2,1.0,2,1.0,1,1,2.0
724,4,27.0,2,0,2570.0,1,3,3.0,2,1,3.0,1,21.0,3,1,1.0,3,1.0,1,1,2.0
727,1,18.0,2,3,1882.0,1,3,4.0,2,1,4.0,3,25.0,1,1,2.0,3,1.0,1,1,2.0
728,2,48.0,1,9,6416.0,1,5,4.0,2,1,3.0,4,59.0,3,1,1.0,3,1.0,1,1,2.0
731,1,24.0,2,3,1987.0,1,3,2.0,3,1,4.0,1,21.0,3,1,1.0,2,2.0,1,1,2.0
736,2,24.0,2,1,11560.0,1,3,1.0,2,1,4.0,3,23.0,3,1,2.0,4,1.0,1,1,2.0
739,2,30.0,0,9,4280.0,2,3,4.0,2,1,4.0,3,26.0,3,1,2.0,2,1.0,1,1,2.0
747,1,12.0,2,0,1274.0,1,2,3.0,2,1,1.0,1,37.0,3,2,1.0,2,1.0,1,1,2.0
751,1,18.0,2,0,976.0,1,2,1.0,2,1,2.0,3,23.0,3,2,1.0,2,1.0,1,1,2.0
754,4,12.0,3,5,1555.0,4,5,4.0,3,1,4.0,4,55.0,3,3,2.0,3,2.0,1,1,2.0
755,1,24.0,2,0,1285.0,5,4,4.0,2,1,4.0,4,32.0,3,1,1.0,3,1.0,1,1,2.0
757,3,15.0,4,3,1271.0,5,3,3.0,3,1,4.0,4,39.0,3,3,2.0,3,1.0,2,1,2.0
